algo,sensor_count,map_n,collected_aoi,avg_final_aoi,energy_final,total_distance,visited_count
milp,5,100,89.16666666666667,5.0,26677.243743333333,1110.9007566666667,5.0
milp,5,200,89.16666666666667,5.0,26709.89711,1534.8323566666666,5.0
milp,5,400,89.16666666666667,5.0,27812.418499999996,2018.3908,5.0
milp,5,600,89.16666666666667,5.0,37878.6639,2737.7603,5.0
milp,5,800,89.16666666666667,5.0,46687.12426666667,3110.1649,5.0
milp,5,1000,89.16666666666667,5.0,118356.3745,4389.5495,5.0
milp,10,100,177.63333333333333,10.096666666666666,28394.18201,748.0903099999999,9.0
milp,10,200,177.63333333333333,10.096666666666666,28226.998846666665,1015.3109199999999,9.0
milp,10,400,177.63333333333333,10.096666666666666,29806.930466666665,1485.3301866666666,9.0
milp,10,600,177.63333333333333,10.096666666666666,40564.233146666666,2183.3526266666663,9.0
milp,10,800,177.63333333333333,10.096666666666666,55356.745879999995,2473.8398233333337,9.0
milp,10,1000,177.63333333333333,10.096666666666666,99549.80749,3714.2623366666667,9.0
milp,15,100,268.23333333333335,15.351103333333333,28491.372033333333,723.4798333333333,9.0
milp,15,200,268.3,15.324443333333333,28141.503836666667,1069.33501,9.0
milp,15,400,268.3,15.337773333333333,29640.59523,1391.2565033333333,9.0
milp,15,600,268.23333333333335,15.395536666666667,40969.879226666664,2139.09825,9.0
milp,15,800,268.3,15.382206666666667,51184.12708333333,2561.25493,9.0
milp,15,1000,268.23333333333335,15.391093333333334,76379.90413,3180.78997,9.0
milp,20,100,357.23333333333335,20.461666666666666,28477.531753333333,727.4469933333334,9.0
milp,20,200,357.23333333333335,20.458333333333332,28088.808559999998,1045.02691,9.0
milp,20,400,357.23333333333335,20.478333333333335,30267.964156666665,1371.9800533333332,9.0
milp,20,600,339.6,19.45962666666667,39463.40819,2122.13527,9.0
milp,20,800,357.1666666666667,20.508333333333333,53035.650676666664,2416.980173333333,9.0
milp,20,1000,357.23333333333335,20.495,87361.23108,3186.3441000000003,9.0
milp,25,100,444.4,25.546666666666667,28392.72401,755.10807,9.0
milp,25,200,444.3333333333333,25.538666666666668,28026.224,1029.8017966666666,9.0
milp,25,400,444.4,25.538666666666668,29297.99354,1306.4664933333333,9.0
milp,25,600,444.3333333333333,25.552000000000003,40446.180120000005,1980.9886533333333,9.0
milp,25,800,444.3333333333333,25.546666666666667,54872.70261666667,2388.433503333333,9.0
milp,25,1000,444.4,25.538666666666668,83863.39524,3042.495933333333,9.0
milp,30,100,529.7333333333333,30.56223333333333,28257.54393,787.8269833333333,9.0
milp,30,200,529.8,30.540000000000003,28053.799170000002,1055.89341,9.0
milp,30,400,498.6,29.89111,30231.640170000002,1373.9784466666667,9.0
milp,30,600,529.7333333333333,30.579996666666666,38343.92530333333,1992.48726,9.0
milp,30,800,529.6666666666666,30.59776,54750.53577333333,2351.7596333333336,9.0
milp,30,1000,529.7333333333333,30.60443,85875.79095666666,3058.200783333333,9.0
nn,5,100,87.83333333333333,13.0,30866.1449,254.2329,5.0
nn,5,200,87.83333333333333,13.0,30444.8046,548.8170000000001,5.0
nn,5,400,87.83333333333333,13.0,36351.9781,1250.1964,5.0
nn,5,600,87.83333333333333,13.0,79440.55529999999,1855.8806,5.0
nn,5,800,87.83333333333333,13.0,93565.2366,2355.5066,5.0
nn,5,1000,70.13333333333334,70.1,135940.0894,2386.2744,4.0
nn,10,100,159.3,37.55,30619.2038,326.0974,9.0
nn,10,200,159.3,37.55,30040.212,627.0543999999999,9.0
nn,10,400,159.3,37.55,31273.5821,1040.3284,9.0
nn,10,600,159.3,37.55,47325.3657,2112.7888,9.0
nn,10,800,159.3,37.55,80258.0005,2463.7195,9.0
nn,10,1000,105.6,125.0,56267.3503,2129.4232,6.0
nn,15,100,159.3,123.2,31144.3892,256.2637,9.0
nn,15,200,159.3,123.2,30615.617000000002,515.5501,9.0
nn,15,400,159.3,123.2,36579.7069,1297.9267,9.0
nn,15,600,159.3,123.2,51027.05999999999,1805.4369,9.0
nn,15,800,159.3,123.2,70475.2653,1721.1891,9.0
nn,15,1000,159.3,123.2,51056.8827,2168.2949,9.0
nn,20,100,159.3,166.025,31093.3943,256.7363,9.0
nn,20,200,159.3,166.025,30695.1144,457.0919,9.0
nn,20,400,159.3,166.025,39111.977,1204.0213,9.0
nn,20,600,159.3,159.26319999999998,51383.2539,1646.4595,9.0
nn,20,800,159.3,166.025,70730.1119,1942.6346,9.0
nn,20,1000,159.3,166.025,51059.6482,2010.6024,9.0
nn,25,100,159.3,191.72,31093.3943,256.7363,9.0
nn,25,200,159.3,191.72,30761.222,461.5282,9.0
nn,25,400,159.3,191.72,33491.9556,966.0952999999998,9.0
nn,25,600,159.3,191.72,31481.3851,1206.2036,9.0
nn,25,800,159.3,191.72,73760.7569,1899.6856999999998,9.0
nn,25,1000,159.3,191.72,52839.3493,2016.9564,9.0
nn,30,100,159.3,208.85,31460.6782,178.482,9.0
nn,30,200,159.3,208.85,30709.3741,445.6012,9.0
nn,30,400,159.3,208.85,35774.4943,1007.8124,9.0
nn,30,600,159.3,208.85,37134.6213,1095.5164,9.0
nn,30,800,159.3,208.85,56339.0728,1567.9294,9.0
nn,30,1000,159.3,208.85,81381.9804,2064.9463,9.0
